ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,MonitoringLocationIdentifier,SampleCollectionMethod/MethodIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ProviderName
WIDNR_WQX-37134511,1990-10-11,00:00:00,,1990-10-11,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.139,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134543,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134543,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.66,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134543,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.03,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134543,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.131,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134581,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.3,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37134581,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134581,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.66,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134581,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.03,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134581,1990-10-23,00:00:00,,1990-10-23,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.129,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134614,1990-11-06,09:00:00,CST,1990-11-06,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.3,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37134614,1990-11-06,09:00:00,CST,1990-11-06,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.4,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134614,1990-11-06,09:00:00,CST,1990-11-06,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.65,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134614,1990-11-06,09:00:00,CST,1990-11-06,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.06,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134614,1990-11-06,09:00:00,CST,1990-11-06,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.125,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134625,1990-11-06,09:00:00,CST,1990-11-06,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,7,deg C,,,,STORET
WIDNR_WQX-37134680,1990-11-06,09:10:00,CST,1990-11-06,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134680,1990-11-06,09:10:00,CST,1990-11-06,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.66,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134680,1990-11-06,09:10:00,CST,1990-11-06,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.06,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134680,1990-11-06,09:10:00,CST,1990-11-06,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.157,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134689,1990-11-06,09:10:00,CST,1990-11-06,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,7,deg C,,,,STORET
WIDNR_WQX-37134718,1990-11-19,09:30:00,CST,1990-11-19,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.3,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37134718,1990-11-19,09:30:00,CST,1990-11-19,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.5,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134718,1990-11-19,09:30:00,CST,1990-11-19,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.64,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134718,1990-11-19,09:30:00,CST,1990-11-19,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.09,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134718,1990-11-19,09:30:00,CST,1990-11-19,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.122,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134729,1990-11-19,09:30:00,CST,1990-11-19,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,5,deg C,,,,STORET
WIDNR_WQX-37134755,1990-11-19,09:45:00,CST,1990-11-19,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.5,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134755,1990-11-19,09:45:00,CST,1990-11-19,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.63,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134755,1990-11-19,09:45:00,CST,1990-11-19,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.09,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134755,1990-11-19,09:45:00,CST,1990-11-19,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.119,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134764,1990-11-19,09:45:00,CST,1990-11-19,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,5,deg C,,,,STORET
WIDNR_WQX-37134790,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.3,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37134790,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134790,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.63,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134790,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.14,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134790,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.110,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134838,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134838,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.63,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134838,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.15,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134838,1990-12-11,11:00:00,CST,1990-12-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.114,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134874,1991-01-29,09:00:00,CST,1991-01-29,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.4,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37134874,1991-01-29,09:00:00,CST,1991-01-29,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134874,1991-01-29,09:00:00,CST,1991-01-29,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.190,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134874,1991-01-29,09:00:00,CST,1991-01-29,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.608,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134874,1991-01-29,09:00:00,CST,1991-01-29,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.102,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134891,1991-01-29,09:00:00,CST,1991-01-29,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,0,deg C,,,,STORET
WIDNR_WQX-37134920,1991-01-29,09:10:00,CST,1991-01-29,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.3,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134920,1991-01-29,09:10:00,CST,1991-01-29,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.190,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134920,1991-01-29,09:10:00,CST,1991-01-29,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.615,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134920,1991-01-29,09:10:00,CST,1991-01-29,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.099,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134929,1991-01-29,09:10:00,CST,1991-01-29,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,1,deg C,,,,STORET
WIDNR_WQX-37134955,1991-01-29,09:20:00,CST,1991-01-29,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134955,1991-01-29,09:20:00,CST,1991-01-29,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.190,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134955,1991-01-29,09:20:00,CST,1991-01-29,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.605,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134955,1991-01-29,09:20:00,CST,1991-01-29,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.098,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134964,1991-01-29,09:20:00,CST,1991-01-29,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,1,deg C,,,,STORET
WIDNR_WQX-37134990,1991-01-29,09:25:00,CST,1991-01-29,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.1,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37134990,1991-01-29,09:25:00,CST,1991-01-29,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.190,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37134990,1991-01-29,09:25:00,CST,1991-01-29,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.600,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37134990,1991-01-29,09:25:00,CST,1991-01-29,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.100,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37134999,1991-01-29,09:25:00,CST,1991-01-29,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,1,deg C,,,,STORET
WIDNR_WQX-37135028,1991-01-29,09:30:00,CST,1991-01-29,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37135028,1991-01-29,09:30:00,CST,1991-01-29,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.210,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135028,1991-01-29,09:30:00,CST,1991-01-29,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.638,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135028,1991-01-29,09:30:00,CST,1991-01-29,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.097,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135037,1991-01-29,09:30:00,CST,1991-01-29,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,1,deg C,,,,STORET
WIDNR_WQX-37135063,1991-01-29,09:40:00,CST,1991-01-29,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.4,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37135063,1991-01-29,09:40:00,CST,1991-01-29,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.220,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135063,1991-01-29,09:40:00,CST,1991-01-29,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.828,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135063,1991-01-29,09:40:00,CST,1991-01-29,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.146,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135072,1991-01-29,09:40:00,CST,1991-01-29,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,2,deg C,,,,STORET
WIDNR_WQX-37135102,1991-03-11,09:45:00,CST,1991-03-11,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.1,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37135102,1991-03-11,09:45:00,CST,1991-03-11,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.200,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135102,1991-03-11,09:45:00,CST,1991-03-11,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.505,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135102,1991-03-11,09:45:00,CST,1991-03-11,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.084,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135111,1991-03-11,09:45:00,CST,1991-03-11,23:55:00,CST,1.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,2.3,deg C,,,,STORET
WIDNR_WQX-37135144,1991-03-11,09:50:00,CST,1991-03-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37135144,1991-03-11,09:50:00,CST,1991-03-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.240,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135144,1991-03-11,09:50:00,CST,1991-03-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.525,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135144,1991-03-11,09:50:00,CST,1991-03-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.099,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135153,1991-03-11,09:50:00,CST,1991-03-11,23:55:00,CST,4.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,2.3,deg C,,,,STORET
WIDNR_WQX-37135179,1991-03-11,09:55:00,CST,1991-03-11,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.240,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135179,1991-03-11,09:55:00,CST,1991-03-11,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.524,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135179,1991-03-11,09:55:00,CST,1991-03-11,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.096,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135187,1991-03-11,09:55:00,CST,1991-03-11,23:55:00,CST,8.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,2.3,deg C,,,,STORET
WIDNR_WQX-37135213,1991-03-11,10:00:00,CST,1991-03-11,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.240,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135213,1991-03-11,10:00:00,CST,1991-03-11,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.532,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135213,1991-03-11,10:00:00,CST,1991-03-11,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.098,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135221,1991-03-11,10:00:00,CST,1991-03-11,23:55:00,CST,12.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,2.3,deg C,,,,STORET
WIDNR_WQX-37135249,1991-03-11,10:05:00,CST,1991-03-11,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.240,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135249,1991-03-11,10:05:00,CST,1991-03-11,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.533,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135249,1991-03-11,10:05:00,CST,1991-03-11,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.099,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135257,1991-03-11,10:05:00,CST,1991-03-11,23:55:00,CST,16.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,2.3,deg C,,,,STORET
WIDNR_WQX-37135292,1991-03-11,10:10:00,CST,1991-03-11,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.300,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135292,1991-03-11,10:10:00,CST,1991-03-11,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,1.12,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135292,1991-03-11,10:10:00,CST,1991-03-11,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.25,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135300,1991-03-11,10:10:00,CST,1991-03-11,23:55:00,CST,20.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,2.7,deg C,,,,STORET
WIDNR_WQX-37135335,1991-04-08,09:50:00,CDT,1991-04-08,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.1,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37135335,1991-04-08,09:50:00,CDT,1991-04-08,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.322,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37135335,1991-04-08,09:50:00,CDT,1991-04-08,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Total,0.269,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37135335,1991-04-08,09:50:00,CDT,1991-04-08,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.117,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37135344,1991-04-08,09:50:00,CDT,1991-04-08,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,USEPA,"Temperature, water",Total,6,deg C,,,,STORET
WIDNR_WQX-37135370,1991-04-08,09:55:00,CDT,1991-04-08,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
